float_id,date,latitude,longitude,depth,pressure,temperature,salinity,basin
6902899,2021-01-07T11:38:00,42.2627,6.5814,,31.5,13.684,38.139,Western Mediterranean
3901853,2021-01-07T11:51:00,37.2568,17.5466,157.6,161.5,14.919,27.48,Western Mediterranean
6903249,2021-01-07T13:18:00,35.9152,19.051,225.4,231.0,14.709,38.88,Western Mediterranean
6904065,2021-01-08T05:57:30,38.8122,2.272,140.9,144.4,13.949,38.273,Western Mediterranean
6903018,2021-01-08T05:59:30,39.2938,11.681,276.0,282.9,14.519,38.795,Tyrrhenian
6903247,2021-01-08T09:30:00,35.7823,21.9915,3.4,3.5,18.652,39.361,Eastern Mediterranean
6902803,2021-01-09T02:10:30,38.2958,5.0977,260.8,267.3,13.845,38.541,Western Mediterranean
6902804,2021-01-09T02:31:30,43.0788,6.8544,250.9,257.2,14.145,38.628,Western Mediterranean
6902804,2021-01-09T02:31:30,43.0788,6.8544,222.2,227.8,14.093,38.572,Western Mediterranean
6902767,2021-01-09T05:03:20,41.5856,9.678,62.6,64.2,14.497,38.422,Tyrrhenian
3901909,2021-01-09T05:31:30,46.3736,-4.869,180.9,185.4,12.04,35.634,Western Mediterranean
6902944,2021-01-09T05:54:30,40.1705,11.768,483.4,495.5,14.456,38.818,Tyrrhenian
6902944,2021-01-09T05:54:30,40.1705,11.768,349.5,358.2,14.535,38.787,Tyrrhenian
6903787,2021-01-09T05:55:20,39.3398,12.9986,190.7,195.5,14.641,38.732,Tyrrhenian
6903260,2021-01-09T05:58:30,36.1356,19.5486,26.4,27.1,16.994,0.25,Western Mediterranean
6902773,2021-01-09T06:03:30,38.2561,9.3774,39.4,40.4,14.934,38.083,Western Mediterranean
6902773,2021-01-09T06:03:30,38.2561,9.3774,,413.6,14.31,38.804,Western Mediterranean
6902845,2021-01-09T22:47:30,33.344,28.21,114.8,117.7,,39.063,Eastern Mediterranean
6902845,2021-01-09T22:47:30,33.344,28.21,135.3,138.7,16.548,,Eastern Mediterranean
6902718,2021-01-09T22:54:30,33.4314,26.1652,440.3,451.3,14.247,38.901,Eastern Mediterranean
6902965,2021-01-10T02:00:30,42.8748,6.1451,297.2,304.6,14.068,38.628,Western Mediterranean
6902873,2021-01-10T05:07:30,33.3591,23.3078,60.3,61.8,,,Eastern Mediterranean
6902870,2021-01-10T05:12:30,35.1359,16.7946,353.8,362.6,14.639,38.949,Western Mediterranean
6903786,2021-01-10T05:50:30,33.3214,34.7724,346.8,355.5,14.912,38.992,Eastern Mediterranean
6901281,2021-01-10T05:52:30,39.1665,0.7724,28.1,28.8,14.006,38.09,Western Mediterranean
6901281,2021-01-10T05:52:30,39.1665,0.7724,109.5,112.2,13.98,38.334,Western Mediterranean
6902944,2021-01-10T05:55:30,40.1081,11.7717,229.1,234.8,14.495,38.536,Tyrrhenian
6902944,2021-01-10T05:55:30,40.1081,11.7717,230.0,235.8,14.495,38.541,Tyrrhenian
6903270,2021-01-10T20:58:30,32.9569,33.3905,40.7,41.7,20.095,39.157,Eastern Mediterranean
6903270,2021-01-10T20:58:30,32.9569,33.3905,18.8,19.3,20.191,39.161,Eastern Mediterranean
6902937,2021-01-11T02:14:30,41.5767,5.4616,,400.3,13.608,38.628,Western Mediterranean
6902876,2021-01-11T02:15:30,37.648,2.7414,262.3,268.9,13.709,38.544,Western Mediterranean
6902876,2021-01-11T02:15:30,37.648,2.7414,323.1,331.2,13.725,,Western Mediterranean
6902876,2021-01-11T02:15:30,37.648,2.7414,,361.8,13.683,38.604,Western Mediterranean
6902876,2021-01-11T02:15:30,37.648,2.7414,360.6,369.6,13.679,38.605,Western Mediterranean
6903238,2021-01-11T05:51:30,39.1599,13.4813,52.2,53.5,15.527,0.055,Tyrrhenian
6901280,2021-01-11T05:56:30,39.9205,2.3291,283.8,290.9,13.725,38.61,Western Mediterranean
6902944,2021-01-11T05:57:30,40.0812,11.7948,187.5,192.2,14.419,38.348,Tyrrhenian
6902944,2021-01-11T05:57:30,40.0812,11.7948,284.4,291.5,14.555,38.702,Tyrrhenian
6902944,2021-01-11T05:57:30,40.0812,11.7948,182.3,186.9,14.367,38.303,Tyrrhenian
6902902,2021-01-11T09:39:00,34.7266,30.1506,120.4,123.4,16.517,39.188,Eastern Mediterranean
6902902,2021-01-11T09:39:00,34.7266,30.1506,196.6,201.5,15.78,39.15,Eastern Mediterranean
6903016,2021-01-11T11:48:30,35.8899,-3.808,320.9,328.9,13.604,38.567,Western Mediterranean
6903781,2021-01-12T05:49:30,42.3675,18.0499,73.2,75.0,15.595,38.896,Adriatic
6902944,2021-01-12T05:55:30,39.9912,11.7452,,247.9,,38.651,Tyrrhenian
6902944,2021-01-12T05:55:30,39.9912,11.7452,,388.8,14.515,38.795,Tyrrhenian
6901250,2021-01-12T06:07:00,41.0187,5.3917,63.7,65.3,14.705,38.037,Western Mediterranean
7900563,2021-01-12T11:37:21,41.787,5.8048,150.3,154.05,13.772,38.6238,Western Mediterranean
6903249,2021-01-12T11:42:00,35.8584,19.0376,248.9,255.1,14.866,38.963,Western Mediterranean
6903249,2021-01-12T11:42:00,35.8584,19.0376,145.4,149.0,,38.896,Western Mediterranean
6903866,2021-01-12T22:17:30,41.8919,29.0438,71.4,73.2,8.751,19.189,Eastern Mediterranean
6903018,2021-01-13T05:34:30,39.2686,11.709,208.6,213.8,14.559,38.74,Tyrrhenian
6904065,2021-01-13T05:58:30,38.8521,2.2296,344.2,352.8,,38.594,Western Mediterranean
6903247,2021-01-13T09:33:00,35.7133,21.2833,424.6,435.2,15.608,39.167,Eastern Mediterranean
6902902,2021-01-13T09:35:00,34.7356,30.1523,2.2,2.3,18.817,39.099,Eastern Mediterranean
6902902,2021-01-13T09:35:00,34.7356,30.1523,256.5,262.9,15.253,39.087,Eastern Mediterranean
6902969,2021-01-13T10:31:54,40.2544,1.8915,18.0,18.49,13.687,38.055,Western Mediterranean
6902969,2021-01-13T10:31:54,40.2544,1.8915,112.7,115.54,13.737,38.454,Western Mediterranean
6902969,2021-01-13T10:31:54,40.2544,1.8915,165.4,169.54,13.751,38.553,Western Mediterranean
6901774,2021-01-13T10:41:00,36.8719,2.4488,,471.0,13.405,38.588,Western Mediterranean
6903016,2021-01-13T11:54:30,35.8414,-3.6196,268.0,274.7,13.626,38.554,Western Mediterranean
